Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);PRIMARY/SECONDARY;INCLUSION TYPE;SPOT (INCLUSION);MINERAL (INCLUSION);RIM / CORE (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;HEATING TEMPERATURE (?C);SIO2(WT%);TIO2(WT%);ZRO2(WT%);B2O3(WT%);AL2O3(WT%);CR2O3(WT%);LA2O3(WT%);CE2O3(WT%);Y2O3(WT%);V2O3(WT%);NB2O3(WT%);TA2O5(WT%);WO3(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);SRO(WT%);NIO(WT%);ZNO(WT%);CS2O(WT%);RB2O(WT%);K2O(WT%);;;;NA2O(WT%);P2O5(WT%);H2O(WT%);;;;H2OP(WT%);H2OM(WT%);CO2(WT%);C(WT%);F(WT%);CL(WT%);SO2(WT%);SO3(WT%);S(WT%);LOI(WT%);AL(WT%);TI(WT%);FE(WT%);MG(WT%);CA(WT%);K(WT%);NA(WT%);LI(PPM);BE(PPM);B(PPM);C(PPM);F(PPM);NA(PPM);MG(PPM);AL(PPM);P(PPM);S(PPM);CL(PPM);AR40(AT/G);AR40(CCMSTP/G);AR40(MOL/G);AR40(PPB);K(PPM);CA(PPM);SC(PPM);;;;TI(PPM);;;;V(PPM);CR(PPM);MN(PPM);FE(PPM);CO(PPM);NI(PPM);CU(PPM);ZN(PPM);GA(PPM);GE(PPM);AS(PPM);SE(PPM);BR(PPM);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;MO(PPM): altern. values or methods;;;;AG(PPM);CD(PPM);IN(PPM);SN(PPM);SB(PPM);TE(PPM);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM);ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM);GD(PPM);TB(PPM);DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM);HF(PPM);TA(PPM);W(PPM);RE(PPM);AU(PPM);AU(PPB);HG(PPM);HG(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;PB206(PPM);BI(PPM);TH(PPM): altern. values or methods;;;;U(PPM);ND143_ND144;ND143_ND144_INI;EPSILON_ND;EPSILON_ND_INI;SM147_ND144;SR87_SR86;SR87_SR86_INI;EPSILON_SR;EPSILON_SR_INI;RB87_SR86;PB206_PB204;PB206_PB204_INI;PB206_PB207;PB206_PB208;PB207_PB204;PB207_PB204_INI;PB207_PB206;PB208_PB204;PB208_PB204_INI;PB208_PB206;HF176_HF177;HF176_HF177_INI;EPSILON_HF_INI;LU176_HF177;YB176_HF177;AR36_AR39;AR36_AR40;AR37_AR39;AR38_AR39;AR39_AR40;AR40_AR36;AR40_AR39;PB206_U238;PB207_U235;PB208_TH232;TH232_PB204;TH232_U238;U235_PB204;U238_PB204;U238_PB206;D7LI(VS LSVEC);D18O(PER MIL);D18O(VS SMOW);D18O(VS VSMOW);D56FE(VS IRMM-014);D57FE(VS IRMM-014);DD(VS SMOW);ALBITE(MOL%);ANORTHITE(MOL%);CA OLIVINE(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);ORTHOCLASE(MOL%);TEPHROITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA): altern. values or methods;;;;AGE(MA): altern. values or methods;;;;;;;;AGE_PB207_PB206(MA);AGE_PB207_U235(MA);AGE_PB206_U238(MA): altern. values or methods;;;;;;AGE_PB208_TH232(MA);
2002;[5168] RICHARDS J. P. (2002);samp. AR45;;ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / ARGENTINA / CERRO NEGRO;;-24.67;-68.17;-25.17;-68.58;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;NEOGENE;;;;;WHOLE ROCK;;;;;;;;;;;;;63.5;0.7;;;15;;;;;;;;;4.7;;;;3.9;1.9;0.1;;;;;;;4.1;XRF;;;3.2;0.2;;;;;;;;;;;;;;2.4;;;;;;;;16;;;;;;;;;;;;;;;;;7;ICPMS;;;;;;;86;;;;;;;;;;;;;209;ICPMS;;;353;ICPMS;;;22;ICPMS;;;150;ICPMS;;;20.4;ICPMS;;;4.3;ICPMS;;;;;;;;;8.1;619;ICPMS;;;46;ICPMS;;;96;ICPMS;;;10.5;38;ICPMS;;;6.8;ICPMS;;;1.1;5.7;0.73;4.5;0.85;2.39;0.35;2.25;0.45;5;1.71;;;;;;;;34;ICPMS;;;;;22;ICPMS;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;[5532] LI XIAN-HUA (2002);samp. 98KD77-1;216478;CENTRAL ASIAN FOLDBELT - PROTEROZOIC / CHINA - PROTEROZOIC / SICHUAN PROVINCE / SUXIONG FORMATION;ALONG ROAD CUT BETWEEN SUXIONG AND WANGONG, GANLUO (SUXIONG) REGION, KANGDIAN RIFT;29;103;29;103;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;803000000;803000000;PROTEROZOIC;NEO;;;;WHOLE ROCK;;;;;;;;;;;;;67.07;0.65;;;13.82;;;;;;;;;;8.04;;;0.41;0.01;0.05;;;;;;;5.26;XRF;;;4;0.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.04;3.77;;;;3.4;;;16.4;;;;;165;ICPMS;;;89.1;ICPMS;;;52.8;ICPMS;;;340;ICPMS;;;17.3;ICPMS;;;;;;;;;;;;;7.16;1035;ICPMS;;;34.7;ICPMS;;;66.9;ICPMS;;;8.75;36.4;ICPMS;;;7.38;ICPMS;;;1.86;6.83;1.24;7.48;1.42;3.97;0.61;3.77;0.56;6.51;1.16;;;;;;;;;;;;;;15.2;ICPMS;;;5.36;0.512339;;;;0.1226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991;[5953] POLYAKOV G. V. (1991);samp. P139/89;;EMEISHAN / SONG DA DISTRICT;NAM MUOI RIVER AREA;22;104;22;104;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;;;;;;WHOLE ROCK;;;;;;;;;;;;;64.88;0.9;;;13.6;;;;;;;;;6.73;;;;0.5;1.79;0.06;;;;;;;6.26;XRF;;;2.58;0.17;;;;;;;;;;;;;;2.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;INAA;;;140;INAA;;;;;;;;;;;;;;;;;;;;;;19.8;INAA;;;145.3;INAA;;;;72.5;INAA;;;17.2;INAA;;;2.8;14.8;2.4;;;;;6.4;0.9;16;7.63;;;;;;;;;;;;;;18.1;INAA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;[6020] SKUF^IN P. K. (1999);samp. 8;;BALTIC SHIELD / KOLA-LAPLAND PROVINCE / PECHENGA-PASVIK GREENSTONE BELT / SOUTHERN PECHENGA GROUP - MENNEL^ FORMATION;BRAGINO VOLCANIC CENTER;69.15;30.42;69.19;30.6;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;FINE-GRAINED MASSIVE;;;;PROTEROZOIC;PALEO;;;;WHOLE ROCK;;;;;;;;;;;;;68.42;0.16;;;15.82;;;;;;;;;;0.33;;1.48;2.82;0.51;0.02;;;;;;;2.29;NOT;;;5.63;0.08;;;;;1.09;0.16;0.74;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;6;;;4;19;11;;;;;;;56;NOT;;;669;NOT;;;;;;;173;NOT;;;16;NOT;;;;;;;;;;;;;;752;NOT;;;16;INAA;;;32;INAA;;;;12;INAA;;;1.95;INAA;;;0.53;;0.17;;;;;0.4;0.08;3.09;0.32;;;;;;;;;;;;;;0.02;NOT;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;[6020] SKUF^IN P. K. (1999);samp. 9;;BALTIC SHIELD / KOLA-LAPLAND PROVINCE / PECHENGA-PASVIK GREENSTONE BELT / SOUTHERN PECHENGA GROUP - MENNEL^ FORMATION;BRAGINO VOLCANIC CENTER;69.15;30.42;69.19;30.6;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;FINE-GRAINED MASSIVE;SODIC;;;PROTEROZOIC;PALEO;;;;WHOLE ROCK;;;;;;;;;;;;;69.42;0.22;;;16.42;;;;;;;;;;0;;0.91;1.34;0.47;0.03;;;;;;;0.2;NOT;;;9;0.09;;;;;0.97;0;0.46;;;;;;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;65;;;4;42;16;;;;;;;4;NOT;;;510;NOT;;;;;;;134;NOT;;;16;NOT;;;;;;;;;;;;;;310;NOT;;;20;INAA;;;39;INAA;;;;15;INAA;;;2.29;INAA;;;0.65;;0.22;;;;;0.62;0.09;3.11;0.53;;;;;;;;;;;;;;0.01;NOT;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;[6332] COOMBS D. S. (1996);samp. OU61940;251751;NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / PARK VOLCANICS - GOWAN ANDESITE;HABUKININI, MURIHIKU TERRANE;-46.2;168;-46.2;168;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;JURASSIC;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;;CORE;PRIMARY;;;;;;;;52.12;0.77;;;1.69;;;;;;;;;;;8.96;;20.28;15.21;0.29;;;;;;;;;;;0.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;[6332] COOMBS D. S. (1996);samp. OU61940;251751;NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / PARK VOLCANICS - GOWAN ANDESITE;HABUKININI, MURIHIKU TERRANE;-46.2;168;-46.2;168;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;JURASSIC;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;;RIM;PRIMARY;;;;;;;;52.51;0.58;;;1.39;;;;;;;;;;;10.94;;19.94;14.15;0.36;;;;;;;;;;;0.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;[6332] COOMBS D. S. (1996);samp. OU61940;251751;NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / PARK VOLCANICS - GOWAN ANDESITE;HABUKININI, MURIHIKU TERRANE;-46.2;168;-46.2;168;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;JURASSIC;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);BIOTITE;;;;PRIMARY;;;;;;;;41.79;2.55;;;12.49;;;;;;;;;;;13.36;;;14.65;0.17;;;;;;;8.93;EMP (EPMA);;;0.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;[6332] COOMBS D. S. (1996);samp. OU61940;251751;NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / PARK VOLCANICS - GOWAN ANDESITE;HABUKININI, MURIHIKU TERRANE;-46.2;168;-46.2;168;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;JURASSIC;;;;;WHOLE ROCK;;;;;;;;;;;;;64.26;1.02;;;16.05;;;;;;;;;;3.28;;2.98;2.41;0.76;0.3;;;;;;;4.36;XRF;;;4.35;0.23;;;;;;;;;;;;;;1.21;;;;;;;;;;;;;;;;;;;;;;;;;10;XRF;;;;;;;116;19;;;;11;19;12;19;;;;;214;XRF;;;260;XRF;;;27;XRF;;;266;XRF;;;10;XRF;;;;;;;;;;;;;;594;XRF;;;26;INAA;;;55;INAA;;;17;31;INAA;;;;;;;;;;;;;;;;;;;;;;;;;10;XRF;;;;;17;INAA;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;[6332] COOMBS D. S. (1996);samp. OU61910;;NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / PARK VOLCANICS - PINNEY VOLCANICS;MURIHIKU TERRANE;-46;168;-46;168;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;JURASSIC;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;CORE;PRIMARY;;;;;;;;53.02;0.22;;;0.94;;;;;;;;;;;8.75;;21.23;14.84;0.3;;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;[6332] COOMBS D. S. (1996);samp. OU61910;;NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / PARK VOLCANICS - PINNEY VOLCANICS;MURIHIKU TERRANE;-46;168;-46;168;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;JURASSIC;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;GROUNDMASS;;PRIMARY;;;;;;;;52.77;0.31;;;0.97;;;;;;;;;;;8.99;;21.53;14.14;0.33;;;;;;;;;;;0.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;[6332] COOMBS D. S. (1996);samp. OU61910;;NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / PARK VOLCANICS - PINNEY VOLCANICS;MURIHIKU TERRANE;-46;168;-46;168;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;JURASSIC;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;GROUNDMASS;;PRIMARY;;;;;;;;48.27;1.69;;;6.26;;;;;;;;;;;8.44;;21.23;13.29;0.3;;;;;;;;;;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;[6332] COOMBS D. S. (1996);samp. OU61926;251754;NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / PARK VOLCANICS - GOWAN ANDESITE;PINNEY, MURIHIKU TERRANE;-46.2;168;-46.2;168;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;JURASSIC;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;;PRIMARY;;;;;;;;53.17;0.42;;;0.87;;;;;;;;;;;8.96;;21.34;14.55;0.35;;;;;;;;;;;0.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;[6332] COOMBS D. S. (1996);samp. OU61926;251754;NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / PARK VOLCANICS - GOWAN ANDESITE;PINNEY, MURIHIKU TERRANE;-46.2;168;-46.2;168;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;JURASSIC;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;GROUNDMASS;;PRIMARY;;;;;;;;53.68;0.28;;;0.61;;;;;;;;;;;8.59;;21.67;14.96;0.3;;;;;;;;;;;0.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;[6332] COOMBS D. S. (1996);samp. OU61926;251754;NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / PARK VOLCANICS - GOWAN ANDESITE;PINNEY, MURIHIKU TERRANE;-46.2;168;-46.2;168;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;JURASSIC;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;;;PRIMARY;;;;;;;;49.8;1.25;;;3.8;;;;;;;;;;;8.79;;20.67;14.35;0.23;;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;[6332] COOMBS D. S. (1996);samp. OU61926;251754;NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / PARK VOLCANICS - GOWAN ANDESITE;PINNEY, MURIHIKU TERRANE;-46.2;168;-46.2;168;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;JURASSIC;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;GROUNDMASS;;PRIMARY;;;;;;;;49.24;1.42;;;5.61;;;;;;;;;;;7.86;;21.65;13.98;0.22;;;;;;;;;;;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;[6332] COOMBS D. S. (1996);samp. OU61936;;NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / PARK VOLCANICS - PINNEY VOLCANICS;MURIHIKU TERRANE;-46;168;-46;168;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;JURASSIC;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;CORE;PRIMARY;;;;;;;;51.83;0.78;;;2.51;;;;;;;;;;;7.51;;21.45;15.54;0.16;;;;;;;;;;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;[6332] COOMBS D. S. (1996);samp. OU61936;;NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / PARK VOLCANICS - PINNEY VOLCANICS;MURIHIKU TERRANE;-46;168;-46;168;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;JURASSIC;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;GROUNDMASS;;PRIMARY;;;;;;;;52.02;0.41;;;1.03;;;;;;;;;;;10.61;;20.56;14.26;0.47;;;;;;;;;;;0.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;[6332] COOMBS D. S. (1996);samp. OU61927;;NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / PARK VOLCANICS - PINNEY VOLCANICS;MURIHIKU TERRANE;-46;168;-46;168;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;JURASSIC;;;;ALBITISED;MINERAL / COMPONENT (INCL. GROUNDMASS);CLINOPYROXENE;;PHENOCRYST;;PRIMARY;;;;;;;;52.25;0.51;;;1.4;;;;;;;;;;;8.14;;21.99;15.12;0.41;;;;;;;;;;;0.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;[6332] COOMBS D. S. (1996);samp. OU45613;251753;NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / PARK VOLCANICS - GOWAN ANDESITE;PINNEY, MURIHIKU TERRANE;-46.2;168;-46.2;168;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;JURASSIC;;;;;WHOLE ROCK;;;;;;;;;;;;;63.16;0.88;;;16.68;;;;;;;;;;2.18;;2.45;4.91;1.66;0.1;;;;;;;3.35;XRF;;;4.37;0.23;;;;;;;;;;;;;0.03;2.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;119;24;;;;8;11;66;18;;;;;103;XRF;;;426;XRF;;;21;XRF;;;202;XRF;;;6;XRF;;;;;;;;;;;;;;605;XRF;;;22;INAA;;;54;INAA;;;;27;INAA;;;;;;;;;;;;;;;;;;;;;;;;;16;XRF;;;;;9;INAA;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;[6332] COOMBS D. S. (1996);samp. OU45624;;NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / PARK VOLCANICS - PINNEY VOLCANICS;MURIHIKU TERRANE;-46;168;-46;168;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;JURASSIC;;;;;WHOLE ROCK;;;;;;;;;;;;;63.87;0.9;;;16.6;;;;;;;;;;2.18;;2.39;3.26;2.06;0.09;;;;;;;3.35;XRF;;;5.02;0.25;;;;;;;;;;;;;0.03;2.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102;31;;;;9;17;71;20;;;;;111;XRF;;;332;XRF;;;20;XRF;;;208;XRF;;;6;XRF;;;;;;;;;;;;;;531;XRF;;;25;INAA;;;56;INAA;;;;29;INAA;;;;;;;;;;;;;;;;;;;;;;;;;16;XRF;;;;;10;INAA;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;[6332] COOMBS D. S. (1996);samp. OU49446;;NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / PARK VOLCANICS - PINNEY VOLCANICS;MURIHIKU TERRANE;-46;168;-46;168;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;TRACHYDACITE;;;;;JURASSIC;;;;;WHOLE ROCK;;;;;;;;;;;;;62.46;0.96;;;17.33;;;;;;;;;;2.72;;2.22;4.41;1.43;0.09;;;;;;;3.41;XRF;;;4.69;0.27;;;;;;;;;;;;;0.01;1.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;119;31;;;;8;15;85;19;;;;;111;XRF;;;478;XRF;;;22;XRF;;;204;XRF;;;7;XRF;;;;;;;;;;;;;;658;XRF;;;25;INAA;;;55;INAA;;;;27;INAA;;;;;;;;;;;;;;;;;;;;;;;;;18;XRF;;;;;11;INAA;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
